BEROEPEN;Misdrijven;Inbreuken;Totaal
Ontvangen in 2021;50;6;56
;;;
ARRESTEN;Misdrijven;Inbreuken;Totaal
Beroep onontvankelijk (na vereenvoudigde procedure);18;4;22
Beroep ongegrond, boete bevestigd;49;0;49
Beroep geheel of gedeeltelijk gegrond, met vermindering/kwijtschelding boete;10;0;10
Beroep geheel of gedeeltelijk gegrond, beslissing gewestelijke entiteit van de afdeling Handhaving van het departement Omgeving vernietigd zonder meer;4;3;7
Inwilliging afstand van beroep;5;0;5
Beroep zonder voorwerp verklaard;0;0;0
Tussenarrest ;0;0;0
Totaal;86;7;93
