code;value;
Aalst;1;
Aalter;1;
Aarschot;0;
Aartselaar;1;
Affligem;1;
Alken;1;
Alveringem;0;
Antwerpen;1;
Anzegem;1;
Ardooie;1;
Arendonk;0;
As;1;
Asse;1;
Assenede;1;
Avelgem;1;
Baarle-Hertog;1;
Balen;1;
Beernem;1;
Beerse;1;
Beersel;1;
Begijnendijk;1;
Bekkevoort;1;
Beringen;1;
Berlaar;1;
Berlare;1;
Bertem;1;
Bever;1;
Beveren;1;
Bierbeek;1;
Bilzen;1;
Blankenberge;1;
Bocholt;1;
Boechout;1;
Bonheiden;1;
Boom;1;
Boortmeerbeek;1;
Borgloon;1;
Bornem;1;
Borsbeek;1;
Boutersem;1;
Brakel;1;
Brasschaat;1;
Brecht;1;
Bredene;1;
Bree;1;
Brugge;1;
Buggenhout;1;
Damme;1;
De Haan;1;
De Panne;1;
De Pinte;1;
Deerlijk;1;
Deinze;1;
Denderleeuw;1;
Dendermonde;1;
Dentergem;1;
Dessel;1;
Destelbergen;1;
Diepenbeek;1;
Diest;1;
Diksmuide;1;
Dilbeek;1;
Dilsen-Stokkem;1;
Drogenbos;1;
Duffel;1;
Edegem;1;
Eeklo;1;
Erpe-Mere;1;
Essen;1;
Evergem;1;
Galmaarden;0;
Gavere;1;
Geel;1;
Geetbets;1;
Genk;1;
Gent;1;
Geraardsbergen;1;
Gingelom;1;
Gistel;1;
Glabbeek;0;
Gooik;1;
Grimbergen;1;
Grobbendonk;1;
Haacht;1;
Haaltert;1;
Halen;0;
Halle;1;
Ham;1;
Hamme;1;
Hamont-Achel;1;
Harelbeke;1;
Hasselt;1;
Hechtel-Eksel;1;
Heers;1;
Heist-op-den-Berg;1;
Hemiksem;1;
Herent;1;
Herentals;1;
Herenthout;1;
Herk-de-Stad;1;
Herne;1;
Herselt;1;
Herstappe;1;
Herzele;1;
Heusden-Zolder;1;
Heuvelland;1;
Hoegaarden;1;
Hoeilaart;0;
Hoeselt;1;
Holsbeek;1;
Hooglede;1;
Hoogstraten;1;
Horebeke;1;
Houthalen-Helchteren;1;
Houthulst;1;
Hove;0;
Huldenberg;1;
Hulshout;1;
Ichtegem;0;
Ieper;1;
Ingelmunster;1;
Izegem;1;
Jabbeke;1;
Kalmthout;1;
Kampenhout;0;
Kapelle-op-den-Bos;1;
Kapellen;1;
