ARRESTEN;Misdrijven;Inbreuken;Niet gekend (M/I);Totaal
Beroep onontvankelijk (na vereenvoudigde procedure);4;0;2;6
Beroep ongegrond, boete bevestigd;19;1;0;20
Beroep geheel of gedeeltelijk gegrond, met vermindering/kwijtschelding boete;1;1;0;2
Beroep geheel of gedeeltelijk gegrond, beslissing gewestelijke entiteit van de afdeling Handhaving van het departement Omgeving vernietigd zonder meer;5;0;0;5
Inwilliging afstand van beroep;2;0;0;2
Beroep zonder voorwerp verklaard;0;0;0;0
Tussenarrest ;1;0;0;1
Totaal;32;2;2;36
;;;;
;;;;
;;;;
BEROEPEN;Misdrijven;Inbreuken;Niet gekend (M/I/;Totaal
Ontvangen in 2021;40;4;7;51
